Rank,Guild Name,Realm,Link
71,Sabotage,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/Sabotage
81,Turtles,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Turtles
124,this is fine,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/this+is+fine
127,Divinum,EU (DE)-Gul'dan,https://www.wowprogress.com/guild/eu/gul-dan/Divinum
133,Versatile,EU-Silvermoon,https://www.wowprogress.com/guild/eu/silvermoon/Versatile
137,Arctic Avengers,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Arctic+Avengers
142,Who Asked,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Who+Asked
146,Dedicated Casuals,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Dedicated+Casuals
148,Easy Katka,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Easy+Katka
161,Pescorus,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Pescorus
170,Mental Apocalypse,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/Mental+Apocalypse
171,Tales,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Tales
175,Persistence,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Persistence
176,Revoke,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Revoke
176,Retreat,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Retreat
181,styx,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/styx
183,Lidl Company,EU-Sylvanas,https://www.wowprogress.com/guild/eu/sylvanas/Lidl+Company
203,Guldbyen,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Guldbyen
206,Cursed Gifts,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Cursed+Gifts
207,LOGIN,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/LOGIN
209,Coinflip,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Coinflip
215,Competence Optional,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Competence+Optional
243,Revolutionist,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/Revolutionist
245,Mayhem,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/Mayhem
247,Mystruppen,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Mystruppen
248,Unluck,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Unluck
249,Gravity,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Gravity
252,Ascendance,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Ascendance
254,No Shame,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/No+Shame
257,Flawless,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Flawless
258,Wild Things,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Wild+Things
259,Epos,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Epos
264,Equity,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Equity
271,Skattkistan,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Skattkistan
274,Globallocked,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Globallocked
276,Zwei Kölsch bitte,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Zwei+K%C3%B6lsch+bitte
277,Beyond,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Beyond
283,TED,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/TED
285,Low Expectations,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/Low+Expectations
287,Deposit Coin,EU-Stormscale,https://www.wowprogress.com/guild/eu/stormscale/Deposit+Coin
296,Wipe it Out,EU (DE)-Thrall,https://www.wowprogress.com/guild/eu/thrall/Wipe+it+Out
297,Drama,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Drama
321,Infected Nation,EU-Kor'gall,https://www.wowprogress.com/guild/eu/kor-gall/Infected+Nation
322,My Way to Skill,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/My+Way+to+Skill
327,TheMisfits,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/TheMisfits
329,Indecisive,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Indecisive
332,Mosaic,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Mosaic
333,Daddy Check,EU-Drak'thul,https://www.wowprogress.com/guild/eu/drak-thul/Daddy+Check
335,Die Fackaduus,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Die+Fackaduus
361,TeamSpirit,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/TeamSpirit
361,TeamSpirit [ Team C],EU (DE)-Blackrock,https://www.wowprogress.com/team/eu/blackrock/raid-Team+C
364,TYST JAG SER INTE,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/TYST+JAG+SER+INTE
366,Broken Promises,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Broken+Promises
367,Shattrath Island,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Shattrath+Island
368,Die Portsteinschwa..,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Die+Portsteinschwalben
372,Feeling Mangoes,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Feeling+Mangoes
377,Reprogress Live,EU (DE)-Mal'Ganis,https://www.wowprogress.com/guild/eu/mal-ganis/Reprogress+Live
381,VooDoo,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/VooDoo
383,NEET GANG,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/NEET+GANG
386,eXsto,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/eXsto
389,Arise,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Arise
398,Bestyrelsen,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Bestyrelsen
399,raise,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/raise
401,Overcooked,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Overcooked
407,Shattered,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Shattered
408,Salty Tears,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Salty+Tears
409,Swamp Animals,EU-Ravencrest,https://www.wowprogress.com/guild/eu/ravencrest/Swamp+Animals
413,[Raid] Blue,EU-Silvermoon,https://www.wowprogress.com/team/eu/silvermoon/raid-Blue
418,MIAMI,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/MIAMI
420,Polar,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Polar
430,Simplicity,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Simplicity
433,Inner Fury,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Inner+Fury
452,Coven,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Coven
454,Pull bei Eins,EU (DE)-Thrall,https://www.wowprogress.com/guild/eu/thrall/Pull+bei+Eins
455,Lost Boys,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Lost+Boys
456,Luce,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Luce
458,OG Feedback,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/OG+Feedback
459,Tatortreiniger,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Tatortreiniger
460,proud to be hated,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/proud+to+be+hated
463,Test,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Test
464,Keine Ahnung,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Keine+Ahnung
466,Foundation,EU-Magtheridon,https://www.wowprogress.com/guild/eu/magtheridon/Foundation
467,Noctis,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Noctis
468,Cutting Bread,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Cutting+Bread
500,Traditio,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Traditio
507,Oh Crit,EU-Stormscale,https://www.wowprogress.com/guild/eu/stormscale/Oh+Crit
508,Booty Bay Bingo Bu..,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Booty+Bay+Bingo+Buddies
512,Capsule Corp,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Capsule+Corp
514,Mici Bere si Manele,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Mici+Bere+si+Manele
518,eXôdus,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/eX%C3%B4dus
522,Ryggont,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Ryggont
524,The Ministry,EU-Ragnaros,https://www.wowprogress.com/guild/eu/ragnaros/The+Ministry
525,Resync,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Resync
526,Níghtshade,EU-Ravencrest,https://www.wowprogress.com/guild/eu/ravencrest/N%C3%ADghtshade
529,Nerdelandslaget,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Nerdelandslaget
530,Average Pillagers,EU-Azjol-Nerub,https://www.wowprogress.com/guild/eu/azjol-nerub/Average+Pillagers
532,Revelations,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Revelations
535,Rhythm,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Rhythm
536,Fysikbasserne,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Fysikbasserne
538,Winterfall,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Winterfall
543,W a s h e d,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/W+a+s+h+e+d
574,Atlantik,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Atlantik
579,V r e d e,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/V+r+e+d+e
580,Spirits Rising,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Spirits+Rising
584,Monkee,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Monkee
585,Solids,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Solids
589,Mentally ill,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Mentally+ill
593,monkaPickle,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/monkaPickle
594,Burning Tempest,EU (DE)-Dun Morogh,https://www.wowprogress.com/guild/eu/dun-morogh/Burning+Tempest
595,forever the sickes..,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/forever+the+sickest+kids
596,Sideraid,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Sideraid
597,Violent Circus,EU-Defias Brotherhood,https://www.wowprogress.com/guild/eu/defias-brotherhood/Violent+Circus
598,Avalerion,EU-Stormrage,https://www.wowprogress.com/guild/eu/stormrage/Avalerion
601,Indecision,EU-Ravencrest,https://www.wowprogress.com/guild/eu/ravencrest/Indecision
602,predicted,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/predicted
604,Below Average,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Below+Average
605,Lost and Abandoned,EU-Ravencrest,https://www.wowprogress.com/guild/eu/ravencrest/Lost+and+Abandoned
608,Uncoordinated,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Uncoordinated
609,monkeland,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/monkeland
610,Cor Fortium,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Cor+Fortium
611,Flare,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Flare
623,Lucky Wipe,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Lucky+Wipe
638,One of Us,EU-Ravencrest,https://www.wowprogress.com/guild/eu/ravencrest/One+of+Us
639,Baboon Squad,EU-Stormscale,https://www.wowprogress.com/guild/eu/stormscale/Baboon+Squad
640,Zeal,EU (DE)-Azshara,https://www.wowprogress.com/guild/eu/azshara/Zeal
643,Synarchy,EU-Silvermoon,https://www.wowprogress.com/guild/eu/silvermoon/Synarchy
644,Let us Cook,EU (DE)-Antonidas,https://www.wowprogress.com/guild/eu/antonidas/Let+us+Cook
645,Carried By Bots,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Carried+By+Bots
646,Omnia Vanitas,EU-Burning Legion,https://www.wowprogress.com/guild/eu/burning-legion/Omnia+Vanitas
647,Zenit,EU (DE)-Blackrock,https://www.wowprogress.com/guild/eu/blackrock/Zenit
648,Shadowmeld,EU-Sylvanas,https://www.wowprogress.com/guild/eu/sylvanas/Shadowmeld
649,Behind the Curve,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Behind+the+Curve
652,Taco,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Taco
698,HinausYhtiö,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/HinausYhti%C3%B6
702,Ancient Prophecies,EU-Twisting Nether,https://www.wowprogress.com/guild/eu/twisting-nether/Ancient+Prophecies
703,Xore,EU (DE)-Eredar,https://www.wowprogress.com/guild/eu/eredar/Xore
705,Reaperz,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Reaperz
705,Stormbreaker,EU-Burning Legion,https://www.wowprogress.com/guild/eu/burning-legion/Stormbreaker
707,EinsZweiVier,EU (DE)-Thrall,https://www.wowprogress.com/guild/eu/thrall/EinsZweiVier
708,Neverland,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Neverland
709,Zeitsturm,EU (DE)-Frostwolf,https://www.wowprogress.com/guild/eu/frostwolf/Zeitsturm
710,Gargantuan Baguettes,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Gargantuan+Baguettes
711,Mid Tier Crisis,EU-Argent Dawn,https://www.wowprogress.com/guild/eu/argent-dawn/Mid+Tier+Crisis
712,Traube Minze,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Traube+Minze
713,JAGET,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/JAGET
714,Fem Udråbstegn,EU-Stormscale,https://www.wowprogress.com/guild/eu/stormscale/Fem+Udr%C3%A5bstegn
716,so fluffy,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/so+fluffy
716,Amorphic,EU-Kazzak,https://www.wowprogress.com/guild/eu/kazzak/Amorphic
720,Super Phun Thyme,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Super+Phun+Thyme
722,Näkijän taru,EU-Bloodfeather,https://www.wowprogress.com/guild/eu/bloodfeather/N%C3%A4kij%C3%A4n+taru
723,Dissident,EU (DE)-Thrall,https://www.wowprogress.com/guild/eu/thrall/Dissident
724,Unførgiven,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Unf%C3%B8rgiven
725,Karazhan Schach Club,EU (DE)-Blackmoore,https://www.wowprogress.com/guild/eu/blackmoore/Karazhan+Schach+Club
725,AVALØN,EU-Drak'thul,https://www.wowprogress.com/guild/eu/drak-thul/AVAL%C3%98N
727,Aeon Remnants,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Aeon+Remnants
731,Requiem,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Requiem
731,Bleeding Guardians,EU (DE)-Blackhand,https://www.wowprogress.com/guild/eu/blackhand/Bleeding+Guardians
733,Tokidoki,EU-Silvermoon,https://www.wowprogress.com/guild/eu/silvermoon/Tokidoki
734,PugChamp,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/PugChamp
736,Beware of Yeti,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Beware+of+Yeti
736,Mercy Killers,EU-Sylvanas,https://www.wowprogress.com/guild/eu/sylvanas/Mercy+Killers
740,Prisjakt,EU-Tarren Mill,https://www.wowprogress.com/guild/eu/tarren-mill/Prisjakt
741,Reign,EU-Draenor,https://www.wowprogress.com/guild/eu/draenor/Reign
